Y,Base,Altura,Diametro_Externo,Inertia,DistanceC,Thickness,Sigma,Safety Factor,M/EI,Angle,Deflection,Total mass,Mass Per Section
0.022360842,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,29358765.634073183,0.5109206629106813,0.6116409507098579,0.0,0.0,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.066944665,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,26529578.005998794,0.5654066565479572,0.5526995417916415,0.024641458543419648,0.0010986104261616594,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.111115751,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,23865574.229154166,0.6285203890747373,0.4971994631073784,0.046603298787489485,0.003157128744787553,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.154601772,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,21379402.917816434,0.7016098652362183,0.445404227454509,0.06597215637606504,0.0060259953223724015,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.197134622,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,19079856.54229154,0.7861694330222915,0.39749701129774034,0.08287883713304015,0.00955106847032643,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.238452071,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,16971994.437912416,0.8838089156152837,0.3535832174565086,0.09748799368755534,0.013579023677624317,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.278299383,0.06,0.032,,3.3340000000000006e-08,0.016,0.001,15057360.307138568,0.9961905469505585,0.31369500639872017,0.10998789648036715,0.01796174570490121,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.316430888,0.048,0.02,,9.643999999999997e-09,0.01,0.001,28810986.457901295,0.5206347246012575,0.9603662152633765,0.14660810561951368,0.023552133417372226,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.352611491,0.048,0.02,,9.643999999999997e-09,0.01,0.001,25492141.849854838,0.588416622202556,0.849738061661828,0.17735214108248978,0.029968840825077774,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.386618126,0.048,0.02,,9.643999999999997e-09,0.01,0.001,22562511.28162589,0.664819612177456,0.7520837093875296,0.20292797727707756,0.03686973847962764,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
